date_time,maxtempC,tmean90,tmean,tmean_3D,Excess_Heat_Index,Heat_Stress,Excess_Heat_Factor,Heat_Condition,Heat_Wave
2023-04-04,37,36.6,30.5,29.5,-2.5,28.45277777777778,-71.13194444444444,0,False
2023-04-05,38,37.6,31.0,30.166666666666668,-1.8333333333333321,29.124444444444446,-53.39481481481479,0,False
2023-04-06,41,39.8,32.5,31.333333333333332,-0.6666666666666679,30.29611111111111,-20.197407407407443,0,False
2023-04-07,41,41.0,33.0,32.166666666666664,0.1666666666666643,31.13333333333333,5.1888888888888145,1,False
2023-04-08,40,41.0,33.0,32.833333333333336,0.8333333333333357,31.80166666666667,26.501388888888968,1,False
2023-04-09,40,41.0,32.5,32.833333333333336,0.8333333333333357,31.800555555555558,26.50046296296304,1,True
2023-04-10,41,41.0,34.0,33.166666666666664,1.1666666666666643,32.132777777777775,37.488240740740665,1,True
2023-04-11,41,41.0,34.0,33.5,1.5,32.46666666666667,48.7,1,True
2023-04-12,42,41.6,35.0,34.333333333333336,2.3333333333333357,33.30166666666667,77.70388888888897,1,True
2023-04-13,41,41.6,34.0,34.333333333333336,2.3333333333333357,33.30166666666667,77.70388888888897,1,True
2023-04-14,41,41.6,34.0,34.333333333333336,2.3333333333333357,33.30222222222223,77.70518518518527,1,True
2023-04-15,40,41.6,33.0,33.666666666666664,1.6666666666666643,32.63444444444444,54.390740740740654,1,True
2023-04-16,40,41.6,32.5,33.166666666666664,1.1666666666666643,32.13333333333333,37.48888888888881,1,True
2023-04-17,41,41.0,33.0,32.833333333333336,0.8333333333333357,31.79888888888889,26.49907407407415,1,True
2023-04-18,43,42.2,34.5,33.333333333333336,1.3333333333333357,32.29833333333334,43.064444444444526,1,True
2023-04-19,43,43.0,35.0,34.166666666666664,2.1666666666666643,33.129999999999995,71.78166666666658,1,True
2023-04-20,40,43.0,34.0,34.5,2.5,33.46,83.65,1,True
2023-04-21,38,43.0,32.0,33.666666666666664,1.6666666666666643,32.621111111111105,54.36851851851843,1,True
2023-04-22,37,43.0,31.5,32.5,0.5,31.448333333333334,15.724166666666667,0,False
2023-04-23,36,41.8,30.0,31.166666666666668,-0.8333333333333321,30.11,-25.09166666666663,0,False
2023-04-24,39,39.6,31.5,31.0,-1.0,29.940555555555555,-29.940555555555555,0,False
2023-04-25,38,38.6,31.5,31.0,-1.0,29.93888888888889,-29.93888888888889,0,False
2023-04-26,36,38.6,31.0,31.333333333333332,-0.6666666666666679,30.273333333333333,-20.182222222222258,0,False
2023-04-27,37,38.6,31.0,31.166666666666668,-0.8333333333333321,30.105555555555558,-25.08796296296293,0,False
2023-04-28,38,38.6,31.5,31.166666666666668,-0.8333333333333321,30.102777777777778,-25.085648148148113,0,False
2023-04-29,36,38.0,31.0,31.166666666666668,-0.8333333333333321,30.101111111111113,-25.084259259259223,0,False
2023-04-30,36,37.6,30.5,31.0,-1.0,29.933888888888887,-29.933888888888887,0,False
2023-05-01,35,37.6,29.5,30.333333333333332,-1.6666666666666679,29.26611111111111,-48.77685185185188,0,False
2023-05-02,36,37.2,30.5,30.166666666666668,-1.8333333333333321,29.097222222222225,-53.344907407407376,0,False
2023-05-03,36,36.0,30.5,30.166666666666668,-1.8333333333333321,29.096111111111114,-53.34287037037034,0,False
2023-05-04,37,36.6,31.0,30.666666666666668,-1.3333333333333321,29.595000000000002,-39.459999999999965,0,False
2023-05-05,37,37.0,31.5,31.0,-1.0,29.926666666666666,-29.926666666666666,0,False
2023-05-06,37,37.0,32.5,31.666666666666668,-0.33333333333333215,30.59166666666667,-10.197222222222187,0,False
2023-05-07,35,37.0,31.5,31.833333333333332,-0.16666666666666785,30.757777777777775,-5.126296296296332,0,False
2023-05-08,36,37.0,32.0,32.0,0.0,30.92388888888889,0.0,0,False
2023-05-09,39,38.2,33.5,32.333333333333336,0.3333333333333357,31.257222222222225,10.41907407407415,1,False
2023-05-10,41,40.2,34.5,33.333333333333336,1.3333333333333357,32.25888888888889,43.01185185185193,1,False
2023-05-11,42,41.6,35.0,34.333333333333336,2.3333333333333357,33.260000000000005,77.60666666666675,1,True
2023-05-12,40,41.6,34.0,34.5,2.5,33.425555555555555,83.56388888888888,1,True
2023-05-13,39,41.6,33.5,34.166666666666664,2.1666666666666643,33.09166666666666,71.69861111111102,1,True
2023-05-14,39,41.6,33.0,33.5,1.5,32.42388888888889,48.63583333333334,1,True
2023-05-15,38,41.2,33.5,33.333333333333336,1.3333333333333357,32.25833333333333,43.011111111111184,1,True
